root - WARNING - This will get logged to a file
urllib3.connectionpool - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701D4D2000>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/f6b619a5b98d654ca545bcc74bbc5421
urllib3.connectionpool - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701D502150>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/d50e8c40a44c47d098d25c63e2b79955
urllib3.connectionpool - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701AC63A10>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/20d63bbfb7fddb244c9b5aec0d636bbb
urllib3.connectionpool - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701D4D3FE0>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/88cedfdcd7d2a99bf51098d73d76002f
urllib3.connectionpool - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701D556C60>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/529653b8c2e6688314b1760a3e0fa918
urllib3.connectionpool - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701D4CC260>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/76f55201b09e3d02f89af18b3719cb2a
urllib3.connectionpool - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701D430CB0>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/d96dd2097ec5fc75ee1eb139bd0d2efe
urllib3.connectionpool - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701D556660>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/f6b619a5b98d654ca545bcc74bbc5421
urllib3.connectionpool - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701CF31A90>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/d50e8c40a44c47d098d25c63e2b79955
urllib3.connectionpool - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701CF302C0>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/20d63bbfb7fddb244c9b5aec0d636bbb
urllib3.connectionpool - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701CF31CD0>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/88cedfdcd7d2a99bf51098d73d76002f
urllib3.connectionpool - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701CF329C0>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/529653b8c2e6688314b1760a3e0fa918
urllib3.connectionpool - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701CF5E1B0>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/76f55201b09e3d02f89af18b3719cb2a
urllib3.connectionpool - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701D4D3EC0>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/d96dd2097ec5fc75ee1eb139bd0d2efe
urllib3.connectionpool - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701CF30F50>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/f6b619a5b98d654ca545bcc74bbc5421
urllib3.connectionpool - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701D4D04A0>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/d50e8c40a44c47d098d25c63e2b79955
urllib3.connectionpool - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701D4D3C80>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/20d63bbfb7fddb244c9b5aec0d636bbb
urllib3.connectionpool - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701D4D0320>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/88cedfdcd7d2a99bf51098d73d76002f
urllib3.connectionpool - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701D4D1340>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/529653b8c2e6688314b1760a3e0fa918
urllib3.connectionpool - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701D4D04D0>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/76f55201b09e3d02f89af18b3719cb2a
urllib3.connectionpool - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001701D4D0380>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/d96dd2097ec5fc75ee1eb139bd0d2efe
urllib3.connectionpool - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /session/acd643254b81f0cb92bf30be96165e64
urllib3.connectionpool - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001706ED9DFD0>: Failed to establish a new connection: [WinError 10061] Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det')': /session/06be9ee929b38bf582f22ec1fa01c1c6
